rank,release_date,primary_title,budget,domestic_gross,worldwide_gross_raw,release_year,month,vote_average,vote_count,genre_ids,primary_genre,worldwide_gross_millions,budget_millions,domestic_gross_millions,roi_percent
21,2004-05-07,Van Helsing,170000000.0,120150546.0,300150546.0,2004,5,6.1,3047.0,"[27, 12, 28]",Horror,300.150546,170.0,120.150546,76.56
22,2019-03-29,Dumbo,170000000.0,113883318.0,345004422.0,2019,3,,,,,345.004422,170.0,113.883318,102.94
23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,2015,5,6.2,4610.0,"[12, 10751, 9648, 878]",Adventure,206.627518,170.0,93.436322,21.55
24,2019-02-14,Alita: Battle Angel,170000000.0,85710210.0,402976036.0,2019,2,,,,,402.976036,170.0,85.71021,137.04
25,2019-05-31,Godzilla: King of the Monsters,170000000.0,85576941.0,299276941.0,2019,5,,,,,299.276941,170.0,85.576941,76.05
26,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,2016,5,6.5,3803.0,"[12, 10751, 14]",Adventure,276.928112,170.0,77.042381,62.9
27,2010-05-21,Shrek Forever After,165000000.0,238736787.0,756244673.0,2010,5,6.1,3843.0,"[35, 12, 14, 16, 10751]",Comedy,756.244673,165.0,238.736787,358.33
28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,2016,11,7.3,12582.0,"[28, 12, 14, 878]",Action,676.404566,165.0,232.64192,309.94
28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,2016,11,7.3,12582.0,"[28, 12, 14, 878]",Action,676.404566,165.0,232.64192,309.94
29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,2014,11,7.8,10176.0,"[12, 10751, 16, 28, 35]",Adventure,652.127828,165.0,222.527828,295.23
29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,2014,11,7.8,10176.0,"[12, 10751, 16, 28, 35]",Adventure,652.127828,165.0,222.527828,295.23
30,2010-03-26,How to Train Your Dragon,165000000.0,217581232.0,494870992.0,2010,3,7.7,7610.0,"[14, 12, 16, 10751]",Fantasy,494.870992,165.0,217.581232,199.92
31,2012-11-02,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,2012,11,7.3,7780.0,"[10751, 16, 35, 12]",Family,496.511521,165.0,189.412677,200.92
32,2014-11-05,Interstellar,165000000.0,188017894.0,666379375.0,2014,11,8.2,18597.0,"[12, 18, 878]",Adventure,666.379375,165.0,188.017894,303.87
33,2016-06-24,Independence Day: Resurgence,165000000.0,103144286.0,384169424.0,2016,6,5.1,3911.0,"[28, 12, 878]",Action,384.169424,165.0,103.144286,132.83
34,2011-07-29,Cowboys and Aliens,163000000.0,100368560.0,176038324.0,2011,7,,,,,176.038324,163.0,100.36856,8.0
35,2017-03-17,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,2017,3,7.7,5730.0,"[10749, 10751, 16, 14]",Romance,1259.199706,160.0,504.014165,687.0
35,2017-03-17,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,2017,3,5.9,1272.0,"[14, 10749]",Fantasy,1259.199706,160.0,504.014165,687.0
35,2017-03-17,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,2017,3,6.9,11023.0,"[10751, 14, 10749]",Family,1259.199706,160.0,504.014165,687.0
36,2018-12-21,Aquaman,160000000.0,335061807.0,1146894640.0,2018,12,6.8,6155.0,"[28, 12, 14]",Action,1146.89464,160.0,335.061807,616.81
37,2007-05-17,Shrek the Third,160000000.0,322719944.0,807330936.0,2007,5,,,,,807.330936,160.0,322.719944,404.58
38,2010-07-16,Inception,160000000.0,292576195.0,835524642.0,2010,7,8.3,22186.0,"[28, 878, 12]",Action,835.524642,160.0,292.576195,422.2
39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,2015,11,6.8,7609.0,"[28, 12, 878]",Action,648.986787,160.0,281.723902,305.62
39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,2015,11,6.8,7609.0,"[28, 12, 878]",Action,648.986787,160.0,281.723902,305.62
40,2013-05-24,Fast and Furious 6,160000000.0,238679850.0,789300444.0,2013,5,,,,,789.300444,160.0,238.67985,393.31
41,2014-05-16,Godzilla,160000000.0,200676069.0,529076069.0,2014,5,6.1,5053.0,"[28, 18, 878]",Action,529.076069,160.0,200.676069,230.67
42,2011-06-03,X-Men: First Class,160000000.0,146408305.0,355408305.0,2011,6,7.2,8211.0,"[28, 878, 12]",Action,355.408305,160.0,146.408305,122.13
43,2008-12-25,The Curious Case of Benjamin Button,160000000.0,127509326.0,329631958.0,2008,12,,,,,329.631958,160.0,127.509326,106.02
44,2010-07-14,The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0,2010,7,5.9,2879.0,"[14, 12, 28, 35, 18]",Fantasy,217.98632,160.0,63.150991,36.24
45,2006-05-12,Poseidon,160000000.0,60674817.0,181674817.0,2006,5,,,,,181.674817,160.0,60.674817,13.55
46,2016-06-10,Warcraft,160000000.0,47225655.0,425522281.0,2016,6,6.3,4071.0,"[28, 12, 14]",Action,425.522281,160.0,47.225655,165.95
47,2016-09-30,Deepwater Horizon,156000000.0,61433527.0,122603824.0,2016,9,6.7,2606.0,"[18, 28]",Drama,122.603824,156.0,61.433527,-21.41
47,2016-09-30,Deepwater Horizon,156000000.0,61433527.0,122603824.0,2016,9,6.7,2606.0,"[18, 28]",Drama,122.603824,156.0,61.433527,-21.41
48,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950.0,418186950.0,2010,12,6.3,3196.0,"[12, 10751, 14]",Adventure,418.18695,155.0,104.38695,169.8
